GISJOIN,YEAR,STUSAB,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,UAA,URA,CD116A,SLDU18A,SLDL18A,VTD,VTDI,ZCTAA,SDELMA,SDSECA,SDUNIA,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,UGA,U7J001,U7J002,U7J003,U7J004,U7J005,U7J006,U7J007,U7J008
"G240","2020","MD","0400000US24","24","3","5","Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25151895765","6979171386","Maryland","Maryland","A","+38.9466584","-076.6744939","00",,6177224,3007874,1820472,31845,420944,3247,410941,481901
"G250","2020","MA","0400000US25","25","1","1","Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20204396898","7130653806","Massachusetts","Massachusetts","A","+42.1565196","-071.4895915","00",,7029917,4896037,494029,24018,507934,2301,496731,608867
"G260","2020","MI","0400000US26","26","2","3","Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146614604273","103872203398","Michigan","Michigan","A","+44.8441768","-085.6604907","00",,10077331,7444974,1376579,61261,334300,3051,221851,635315
"G270","2020","MN","0400000US27","27","2","4","Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"206232157570","18949864226","Minnesota","Minnesota","A","+46.3159573","-094.1996043","00",,5706494,4423146,398434,68641,299190,2918,168444,345721
"G280","2020","MS","0400000US28","28","3","6","Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121532487805","3915791676","Mississippi","Mississippi","A","+32.6864714","-089.6561377","00",,2961279,1658893,1084481,16450,32709,1154,56860,110732
"G290","2020","MO","0400000US29","29","2","4","Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178052563675","2487215790","Missouri","Missouri","A","+38.3507500","-092.4567826","00",,6154913,4740335,699840,30518,133377,9730,127942,413171
"G300","2020","MT","0400000US30","30","4","8","Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"376973673895","3866689601","Montana","Montana","A","+47.0511770","-109.6348174","00",,1084225,916524,5484,67612,8300,941,14089,71275
"G310","2020","NE","0400000US31","31","2","4","Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"198957373531","1371117957","Nebraska","Nebraska","A","+41.5433053","-099.8118646","00",,1961504,1538052,96535,23102,52951,1534,105167,144163
"G320","2020","NV","0400000US32","32","4","8","Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"284537264244","1839662252","Nevada","Nevada","A","+39.3310928","-116.6151469","00",,3104614,1588463,304739,43932,272703,25011,435757,434009
"G330","2020","NH","0400000US33","33","1","1","New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23190113978","1025973001","New Hampshire","New Hampshire","A","+43.6726907","-071.5843145","00",,1377529,1216203,20127,3031,35871,453,24102,77742
"G340","2020","NJ","0400000US34","34","1","2","New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19048737655","3533261945","New Jersey","New Jersey","A","+40.1072744","-074.6652012","00",,9288994,5112280,1219770,51186,950090,3533,1048641,903494
"G350","2020","NM","0400000US35","35","4","8","New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"314198560935","726482115","New Mexico","New Mexico","A","+34.4346843","-106.1316181","00",,2117522,1078937,45904,212241,37469,2093,318632,422246
"G360","2020","NY","0400000US36","36","1","2","New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122049520861","19256750161","New York","New York","A","+42.9133974","-075.5962723","00",,20201249,11143349,2986172,149690,1933127,10815,2210633,1767463
"G370","2020","NC","0400000US37","37","3","5","North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"125933025759","13456395178","North Carolina","North Carolina","A","+35.5397100","-079.1308636","00",,10439388,6488459,2140217,130032,343051,8518,617390,711721
"G380","2020","ND","0400000US38","38","2","4","North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178698456949","4410633765","North Dakota","North Dakota","A","+47.4421740","-100.4608258","00",,779094,645938,26783,38914,13213,924,11382,41940
"G390","2020","OH","0400000US39","39","2","3","Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105823700104","10274656132","Ohio","Ohio","A","+40.4149297","-082.7119975","00",,11799448,9080688,1478781,30720,298509,5034,224344,681372
"G400","2020","OK","0400000US40","40","3","7","Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"177664190465","3373689316","Oklahoma","Oklahoma","A","+35.5900815","-097.4867789","00",,3959353,2514885,289961,332791,90949,8608,214001,508158
"G410","2020","OR","0400000US41","41","4","9","Oregon","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"248628426864","6170953359","Oregon","Oregon","A","+43.9717125","-120.6229578","00",,4237256,3169096,82655,62993,194538,19204,265431,443339
"G420","2020","PA","0400000US42","42","1","2","Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115881934065","3397760687","Pennsylvania","Pennsylvania","A","+40.9046013","-077.8275298","00",,13002700,9750687,1423169,31052,510501,4276,508531,774484
"G440","2020","RI","0400000US44","44","1","1","Rhode Island","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2677759219","1323691129","Rhode Island","Rhode Island","A","+41.5964850","-071.5264901","00",,1097379,782920,62168,7385,38961,536,103615,101794
"G450","2020","SC","0400000US45","45","3","5","South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77866132568","5074311415","South Carolina","South Carolina","A","+33.8741776","-080.8542639","00",,5118425,3243442,1280531,24303,90466,3431,177876,298376
"G460","2020","SD","0400000US46","46","2","4","South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"196345992286","3383664203","South Dakota","South Dakota","A","+44.4467957","-100.2381762","00",,886667,715336,17842,77748,13476,543,15057,46665
"G470","2020","TN","0400000US47","47","3","6","Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106791646253","2322913374","Tennessee","Tennessee","A","+35.8584600","-086.3496339","00",,6910840,4990938,1092948,28044,135615,4115,246282,412898
"G480","2020","TX","0400000US48","48","3","7","Texas","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"676680588914","18979352230","Texas","Texas","A","+31.4347032","-099.2818238","00",,29145505,14609365,3552997,278948,1585480,33611,3951366,5133738
"G490","2020","UT","0400000US49","49","4","8","Utah","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"213355058738","6529987297","Utah","Utah","A","+39.3349925","-111.6563326","00",,3271616,2573413,40058,41644,80438,36930,220120,279013
"G500","2020","VT","0400000US50","50","1","1","Vermont","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23873081385","1030243281","Vermont","Vermont","A","+44.0589536","-072.6710173","00",,643077,577751,9034,2289,11549,181,5247,37026
"G510","2020","VA","0400000US51","51","3","5","Virginia","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102258180558","8528070310","Virginia","Virginia","A","+37.5222512","-078.6681938","00",,8631393,5208856,1607581,40007,615436,7156,446650,705707
"G530","2020","WA","0400000US53","53","4","9","Washington","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"172117960159","12549742084","Washington","Washington","A","+47.4073238","-120.5757999","00",,7705281,5130920,307565,121468,730596,64933,513140,836659
"G540","2020","WV","0400000US54","54","3","5","West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62266296765","489206049","West Virginia","West Virginia","A","+38.6472854","-080.6183274","00",,1793716,1610749,65813,3706,15109,476,12919,84944
"G550","2020","WI","0400000US55","55","2","3","Wisconsin","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140292246684","29343721650","Wisconsin","Wisconsin","A","+44.6309071","-089.7093916","00",,5893718,4737545,376256,60428,175702,2199,182054,359534
"G560","2020","WY","0400000US56","56","4","8","Wyoming","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"251458712277","1867503715","Wyoming","Wyoming","A","+42.9896591","-107.5443922","00",,576851,488374,5232,13898,5212,579,20083,43473
"G720","2020","PR","0400000US72","72","9","0","Puerto Rico","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8868948653","4922329963","Puerto Rico","Puerto Rico","A","+18.2176480","-066.4107992","00",,3285874,560592,228711,17870,4001,593,838316,1635791
